from_code,from_lat,from_lng,from_name,name,number,rescheduled_date,rescheduled_time,time_diff,to_code,to_lat,to_lng,to_name
AGTL,23.8312377,91.2823821,AGARTALA,AGTL-HBJ EXP,01666,21-07-2018,19:15,05:15,HBJ,24.385837,91.4126358,HABIBGANJ
JBP,23.1608938,79.9497702,JABALPUR,JBP-CBE SF SPL,02198,21-07-2018,12:00,01:00,CBE,11.0018115,76.9628425,COIMBATORE JN
NZM,28.58886,77.253766,HAZRAT NIZAMUDDIN,NZM-NED,02486,21-07-2018,07:40,01:50,NED,18.916667,77.5,NANDED
CBE,11.0018115,76.9628425,COIMBATORE JN,LOKMANYA TT EXP,11014,21-07-2018,10:25,01:30,LTT,19.069143,72.8922731,LOKMANYATILAK
CSMT,19.0543469,72.8703314308,C SHIVAJI MAHARAJ T,CSTM-SUR SIDDHESWAR EXP.,12115,22-07-2018,01:00,02:15,SUR,17.6715272,75.8975502,SOLAPUR JN
LJN,26.8311093,80.9243976,LUCKNOWJN,LJN AF INTERCIT,12179,21-07-2018,16:55,01:00,AF,27.17982145,78.0211040669,AGRA FORT
AF,27.17982145,78.0211040669,AGRA FORT,LJN INTERCITY,12180,21-07-2018,06:50,01:00,LJN,26.8311093,80.9243976,LUCKNOWJN
HWH,22.5882216,88.323139,HOWRAH JN,HWH-PURI SHATABDI EXP,12277,21-07-2018,16:05,01:40,PURI,19.8150134,85.8351734912,PURI
NZM,28.58886,77.253766,HAZRAT NIZAMUDDIN,NZM RIG GONDWANA EXPRES,12410,21-07-2018,17:00,01:40,RIG,22.5,83.5,RAIGARH
PPTA,19.1302585,72.8252967553,PATLIPUTRA,PPTA LJN S F,12529,21-07-2018,20:00,04:10,LJN,26.8311093,80.9243976,LUCKNOWJN
LJN,26.8311093,80.9243976,LUCKNOWJN,LJN PPTA S F,12530,21-07-2018,06:00,01:00,PPTA,19.1302585,72.8252967553,PATLIPUTRA
CAPE,8.079252,77.5499338,KANYAKUMARI,CAPE-MS EXP.,12634,21-07-2018,19:15,01:55,MS,13.0783662,80.261168463,CHENNAI EGMORE
SBC,13.06178495,77.6102415504,KSR BENGALURU,SBC-MAS MAIL,12658,22-07-2018,05:00,06:20,MAS,13.081674,80.2755685,CHENNAI CENTRAL
ADI,23.0216238,72.5797068,AHMEDABAD JN,ADI-PURI S/F EXP.,12844,21-07-2018,19:40,01:00,PURI,19.8150134,85.8351734912,PURI
JP,26.916194,75.820349,JAIPUR,JP UDZ SF EXP,12992,21-07-2018,15:30,01:30,UDZ,24.5787228,73.6862551,UDAIPUR
BSB,25.3356491,83.0076292,VARANASI JN,BSB-SGRL INTERCITY EXP,13345,21-07-2018,18:10,04:00,SGRL,24.1974432,82.6661453,SINGRAULI
ANVT,28.6118176,77.2888291,ANAND VIHAR TERMINAL,ANVT-MLDT WKLY EXPRESS,13430,21-07-2018,20:30,03:20,MLDT,25.0168233,88.1299053,MALDA TOWN
NDLS,39.0317139,-90.2612233,NEW DELHI,KASHI V EXPRESS,14258,21-07-2018,17:00,05:25,BSB,25.3356491,83.0076292,VARANASI JN
BE,28.3523609,79.4096542,BAREILLY,INTERCITY EXP,14315,21-07-2018,05:15,00:40,NDLS,39.0317139,-90.2612233,NEW DELHI
ALD,25.4381302,81.8338005,ALLAHABAD JN,NAUCHANDI EXP,14511,21-07-2018,20:10,02:30,SRE,29.9907119,77.4916887007,SAHARANPUR
BCY,25.3346395,83.0145644,VARANASI CITY,KRISHAK EXPRESS,15007,21-07-2018,19:15,02:15,LJN,26.8311093,80.9243976,LUCKNOWJN
JSM,26.9116615,70.9124888,JAISALMER,RANIKHET EXP,15013,21-07-2018,02:45,02:00,KGM,29.26621,79.54376,KATHGODAM
MUV,25.3001107,82.9648751,MANDUADIH,MUV-JBP EXPRESS,15117,21-07-2018,18:40,10:15,JBP,23.1608938,79.9497702,JABALPUR
ASR,31.6343083,74.8736788,AMRITSAR JN,ASR-SHC JANSEWA EXP,15210,21-07-2018,07:35,01:00,SHC,26.0,86.75,SAHARSA JN
GUV,10.5950431,76.0417924,GURUVAYUR,GUV CHENNAI EXP,16128,21-07-2018,23:25,02:00,MS,13.0783662,80.261168463,CHENNAI EGMORE
TN,8.8052602,78.1452745,TUTICORIN,TN-MEJ LINK EXP.,16130,21-07-2018,09:50,02:00,MEJ,8.863466,77.8953325,MANIYACHCHI JN
KCVL,8.5101751,76.8969476,KOCHUVELI,KCVL-SBC EXP.,16316,21-07-2018,18:15,01:30,SBC,13.06178495,77.6102415504,KSR BENGALURU
TPJ,10.7904833,78.7046725,TIRUCHCHIRAPALI,CHOLAN EXPRESS,16796,21-07-2018,11:45,01:45,MS,13.0783662,80.261168463,CHENNAI EGMORE
CPR,25.7784105,84.7514507,CHHAPRA,CHHAPRA-CPA EXP,18191,21-07-2018,18:30,00:30,FBD,27.3895336,79.5790994,FARRUKHABAD
FBD,27.3895336,79.5790994,FARRUKHABAD,CPA-CPR EXP,18192,21-07-2018,15:00,01:25,CPR,25.7784105,84.7514507,CHHAPRA
MURI,47.2756613,8.3377829,MURI,JAT MURI SBP EXPRESS,18310,21-07-2018,15:55,07:45,SBP,21.4,83.883333,SAMBALPUR
HWH,22.5882216,88.323139,HOWRAH JN,HWH-HTE KRIIYAJOGAEXPRESS,18615,22-07-2018,01:45,03:35,HTE,23.2991479,85.3234589,HATIA
LJN,26.8311093,80.9243976,LUCKNOWJN,LJN JP EXP,19716,21-07-2018,13:10,01:00,JP,26.916194,75.820349,JAIPUR
BPL,23.2530923,77.3962718,BHOPAL  JN,BPL-SGRL SF EXP,22165,21-07-2018,22:30,01:30,SGRL,24.1974432,82.6661453,SINGRAULI
BGP,25.2494829,86.9828131,BHAGALPUR,BGP-ANVT GARIB RATH,22405,22-07-2018,03:00,13:30,ANVT,28.6118176,77.2888291,ANAND VIHAR TERMINAL
ANVT,28.6118176,77.2888291,ANAND VIHAR TERMINAL,ANVT-GAYA GARIB RATH,22410,21-07-2018,22:00,02:50,GAYA,24.7964355,85.0079563,GAYA JN
LJN,26.8311093,80.9243976,LUCKNOWJN,RAJYA RANI EXP,22453,21-07-2018,15:45,01:05,MTC,28.9789661,77.6756994,MEERUT CITY
VSKP,17.7231276,83.3012842,VISAKHAPATNAM,VSKP-BBS SF EXP,22820,21-07-2018,17:35,02:15,BBS,20.2665668,85.8437586,BHUBANESWAR
JHS,25.44715405,78.566749703,JHANSI JN,JHS-BNDA PASS,51807,21-07-2018,16:00,03:30,BNDA,52.5198535,13.4385964,BANDA JN
BNDA,52.5198535,13.4385964,BANDA JN,BNDA-JHS PASS,51808,21-07-2018,23:50,06:00,JHS,25.44715405,78.566749703,JHANSI JN
LKO,26.8381,80.9346001,LUCKNOW,LKO-JHS PASS,51814,21-07-2018,18:00,01:25,JHS,25.44715405,78.566749703,JHANSI JN
JHS,25.44715405,78.566749703,JHANSI JN,JHS-AGC PASS,51815,21-07-2018,09:05,01:35,AGC,27.1752554,78.0098161,AGRA CANTT
AGC,27.1752554,78.0098161,AGRA CANTT,AGC-JHS PASS,51816,21-07-2018,16:50,02:05,JHS,25.44715405,78.566749703,JHANSI JN
AWR,27.5,76.5,ALWAR JN.,MTJ-AWR PASS,51972,21-07-2018,14:20,00:30,MTJ,27.4955539,77.6855554,MATHURA JN
KLK,30.8366771,76.9369298,KALKA,KLK-SML SHIVALIK DELUXE,52451,21-07-2018,06:20,01:00,SML,25.4018211,87.8956032,SIMLA
KLK,30.8366771,76.9369298,KALKA,KLK-SML MAIL,52453,21-07-2018,07:00,01:00,SML,25.4018211,87.8956032,SIMLA
SDAH,22.5679661,88.3711047,SEALDAH,LGL PGR,53181,22-07-2018,00:00,00:30,LGL,24.4204752,88.255121,LALGOLA
RGD,25.0306,85.4199,RAJGIR,RGD-FUT PASSENGER,53209,21-07-2018,08:40,01:40,FUT,25.5085264,85.3099134,FATUHA
JMP,28.9617956,75.9568209,JAMALPUR JN,JMP-RPH PASSENGER,53408,21-07-2018,14:15,01:10,RPH,24.1763069,87.7859569,RAMPUR HAT
GAYA,24.7964355,85.0079563,GAYA JN,GAYA - KIUL PASS,53626,21-07-2018,11:20,04:00,KIUL,24.7814656,86.0694724,KIUL JN
GAYA,24.7964355,85.0079563,GAYA JN,GAYA-KIUL  PASS,53628,21-07-2018,18:00,06:45,KIUL,24.7814656,86.0694724,KIUL JN
GAYA,24.7964355,85.0079563,GAYA JN,GAYA -KIUL  PASS,53630,21-07-2018,23:00,04:00,KIUL,24.7814656,86.0694724,KIUL JN
BE,28.3523609,79.4096542,BAREILLY,BE-MB,54077,21-07-2018,19:30,01:35,MB,28.8334982,78.7732864,MORADABAD
JNU,25.7472,82.689,JAUNPUR JN,ALD-JNU-PASS,54108,21-07-2018,10:35,05:00,ALD,25.4381302,81.8338005,ALLAHABAD JN
BSB,25.3356491,83.0076292,VARANASI JN,BSB-PBH PASS.,54291,21-07-2018,18:00,00:45,PBH,29.9916021,76.8747281,PARTAPGARH JN
PBH,29.9916021,76.8747281,PARTAPGARH JN,PBH-BSB PASS,54292,21-07-2018,08:45,03:40,BSB,25.3356491,83.0076292,VARANASI JN
PRG,25.4689167,81.8677005,PRAYAG,PRG- JNU PASS.,54375,21-07-2018,07:50,01:00,JNU,25.7472,82.689,JAUNPUR JN
BKI,27.0457102,76.5752695,BANDIKUI JN,BKI-BARELLY PASSENGER,54461,21-07-2018,15:10,00:20,BE,28.3523609,79.4096542,BAREILLY
BE,28.3523609,79.4096542,BAREILLY,BE/BKI PASS,54462,21-07-2018,23:00,01:45,BKI,27.0457102,76.5752695,BANDIKUI JN
UMB,4.4571909,-75.200602,AMBALA CANT JN,AMBALA DELHI PASSENGER,54540,21-07-2018,15:45,01:10,NZM,28.58886,77.253766,HAZRAT NIZAMUDDIN
NKE,27.102923,84.4646072,NARKATIAGANJ JN,NKE-GKP PASSENGER,55029,21-07-2018,20:15,01:00,GKP,26.75845,83.3752175,GORAKHPUR
NKE,27.102923,84.4646072,NARKATIAGANJ JN,NKE-GKP PASSENGER,55041,21-07-2018,02:30,00:40,GKP,26.75845,83.3752175,GORAKHPUR
MFP,26.1182898,85.3857888,MUZAFFARPUR JN,MFP-NKE PASSENGER,55207,21-07-2018,08:00,05:50,NKE,27.102923,84.4646072,NARKATIAGANJ JN
MFP,26.1182898,85.3857888,MUZAFFARPUR JN,MFP-RXL PASS,55211,21-07-2018,13:00,04:25,RXL,26.9833256,84.8523069,RAXAUL JN
RXL,26.9833256,84.8523069,RAXAUL JN,RXL-MFP PASS,55212,21-07-2018,20:15,06:00,MFP,26.1182898,85.3857888,MUZAFFARPUR JN
NKE,27.102923,84.4646072,NARKATIAGANJ JN,NKE-MFP  PASSENGER,55220,21-07-2018,14:00,05:35,MFP,26.1182898,85.3857888,MUZAFFARPUR JN
KIR,25.5433817,87.5690417,KATIHAR JN,KIR-BJU PASSENGER,55221,21-07-2018,23:35,06:00,BJU,25.4676424,85.9904136,BARAUNI JN
DBG,26.1569653,85.8995119,DARBHANGA JN,DBG-KIR PASS,55224,21-07-2018,09:15,06:00,KIR,25.5433817,87.5690417,KATIHAR JN
KSJ,27.8077034,78.6456226,KASGANJ,KSJ-AF PASSENGER,55333,21-07-2018,08:00,00:15,AF,27.17982145,78.0211040669,AGRA FORT
BXT,26.0707744,89.5868791,BAMANHAT,BXT - APDJ PASSENGER,55466,21-07-2018,17:30,01:30,APDJ,26.4851573,89.5246926,ALIPUR DUAR JN
BIRL,25.9352,86.3171,BIRAUL,BIRL - DBG PASSENGER,55576,21-07-2018,19:45,01:00,DBG,26.1569653,85.8995119,DARBHANGA JN
KIR,25.5433817,87.5690417,KATIHAR JN,KIR - MLFC PASSENGER,55704,21-07-2018,09:15,01:00,MLFC,25.0113527,88.1628321,MALDA COURT
UBL,15.3518378,75.1379848,HUBLI JN,UBL-SBC PASS,56516,21-07-2018,07:35,00:35,SBC,13.06178495,77.6102415504,KSR BENGALURU
MDU,9.9261153,78.1140983,MADURAI JN,MDU-VM PASSENGER,56706,21-07-2018,06:30,03:30,VM,11.9398285,79.4945645,VILLUPURAM JN
BJP,18.7935679,80.815939,BIJAPUR,BJP-BMO PASS,57129,21-07-2018,18:55,00:25,BMO,17.529823,78.5155062,BOLARUM
BJP,18.7935679,80.815939,BIJAPUR,BJP-SUR PASS,57133,21-07-2018,13:05,00:40,RC,16.083333,77.166667,RAICHUR
KRYP,,,KADIRIDEVARA PALLI,KYND-TPTY PASS,57478,21-07-2018,14:35,01:10,TPTY,13.6316368,79.4231711,TIRUPATI
NED,18.916667,77.5,NANDED,NED-DD PASS,57516,21-07-2018,22:50,02:00,DD,18.4610039,74.5790616,DAUND JN
BJP,18.7935679,80.815939,BIJAPUR,BJP-SUR PASSENGER,57686,21-07-2018,03:20,03:15,SUR,17.6715272,75.8975502,SOLAPUR JN
RNC,23.3700354,85.3250132,RANCHI,HTE-BOA PASS,58164,21-07-2018,17:52,02:30,GBA,22.70966845,87.1692887119,GARHBETA
BBS,20.2665668,85.8437586,BHUBANESWAR,BBS-BHC PASS,58408,21-07-2018,22:00,04:10,BHC,21.0582737,86.4958396,BHADRAKH
BBS,20.2665668,85.8437586,BHUBANESWAR,BBS-KDJR FAST PASSENGER,58426,21-07-2018,17:30,01:30,KDJR,21.5903096,85.6697235697,KENDUJHAR
AGC,27.1752554,78.0098161,AGRA CANTT,AGC-ETW MEMU,64160,21-07-2018,17:25,01:05,ETW,26.8063069,78.9969944,ETAWAH
AGC,27.1752554,78.0098161,AGRA CANTT,AGC-BXN,64952,21-07-2018,11:40,01:00,BXN,42.0250121,-0.3124939,BAYANA JN
BXN,42.0250121,-0.3124939,BAYANA JN,BXN-MTJ MEMU PASSENGER,69159,21-07-2018,19:25,02:05,MTJ,27.4955539,77.6855554,MATHURA JN
KLK,30.8366771,76.9369298,KALKA,KLK-SML RMC,72451,21-07-2018,06:00,01:00,SML,25.4018211,87.8956032,SIMLA
JU,26.2967719,73.0351433,JODHPUR JN,JU BME PASS,74843,21-07-2018,23:45,01:15,BME,52.8689778,0.6935808,BARMER
TNPR,25.339342,87.7111366,TEJNARAYANPUR,TNPR - KIR PASSENGER,75739,21-07-2018,21:30,01:05,KIR,25.5433817,87.5690417,KATIHAR JN
AGTL,23.8312377,91.2823821,AGARTALA,TRIPURA SUNDARI EXPRESS,14019,19-07-2018,17:15,03:15,ANVT,28.6118176,77.2888291,ANAND VIHAR TERMINAL
KCG,17.3904228,78.4978117,KACHEGUDA,KACHEGUDA-KANPUR SPECIAL,04156,21-07-2018,02:30,03:10,CNB,26.4547354,80.3506961,KANPUR CENTRAL
BJU,25.4676424,85.9904136,BARAUNI JN,GWL BJU MAIL,11123,21-07-2018,03:25,08:40,GWL,26.2037247,78.1573628,GWALIOR JN.
JBP,23.1608938,79.9497702,JABALPUR,SHAKTIPUNJ EXP,11447,21-07-2018,00:50,01:00,HWH,22.5882216,88.323139,HOWRAH JN
GKP,26.75845,83.3752175,GORAKHPUR,RAPTISAGAR EXPRESS,12511,20-07-2018,07:35,01:00,TVC,8.4869485,76.9525968,THIRUVANANTHAPURAM CENTRAL
SC,17.4690889,78.5059176,SECUNDERABAD JN,SC-GKP EXP,12590,20-07-2018,21:00,13:40,GKP,26.75845,83.3752175,GORAKHPUR
ANVT,28.6118176,77.2888291,ANAND VIHAR TERMINAL,ANVT HTE  EXPRESS,12874,21-07-2018,01:00,05:15,HTE,23.2991479,85.3234589,HATIA
RXL,26.9833256,84.8523069,RAXAUL JN,SADBHAWNA EXP,14007,21-07-2018,01:55,02:00,ANVT,28.6118176,77.2888291,ANAND VIHAR TERMINAL
ANVT,28.6118176,77.2888291,ANAND VIHAR TERMINAL,POORBIYA EXP.,15280,20-07-2018,19:20,02:10,SHC,26.0,86.75,SAHARSA JN
DLI,37.3690819,97.36011,DELHI,SIKKIM MAHANANDA EXPRESS,15484,20-07-2018,16:10,09:35,APDJ,26.4851573,89.5246926,ALIPUR DUAR JN
ANVT,28.6118176,77.2888291,ANAND VIHAR TERMINAL,ANVT - KYQ EXPRESS,15622,21-07-2018,04:30,04:45,KYQ,26.1666801,91.7053530389,KAMAKHYA
JAT,32.7060401,74.8799925,JAMMU TAWI,JAMMU GHY EXPRES,15654,21-07-2018,05:15,06:30,GHY,26.1805978,91.753943,GUWAHATI
DLI,37.3690819,97.36011,DELHI,CHAMPARAN HUMSAFAR EXP,15706,20-07-2018,19:00,05:15,KIR,25.5433817,87.5690417,KATIHAR JN
GUV,10.5950431,76.0417924,GURUVAYUR,GUV CHENNAI EXP,16128,20-07-2018,23:25,02:00,MS,13.0783662,80.261168463,CHENNAI EGMORE
PURI,19.8150134,85.8351734912,PURI,PURI-SNSI WEEKLY EXP,18407,20-07-2018,23:45,01:00,SNSI,19.7806599,74.4805113,SAINAGAR SIRIDI
GKP,26.75845,83.3752175,GORAKHPUR,AVADH EXPRESS,19038,20-07-2018,15:00,01:40,BDTS,19.0635016,72.8412300202,BANDRA TERMINUS
ANVT,28.6118176,77.2888291,ANAND VIHAR TERMINAL,ANVT-BGP GARIB RATH,22406,21-07-2018,03:30,10:35,BGP,25.2494829,86.9828131,BHAGALPUR
MTJ,27.4955539,77.6855554,MATHURA JN,MATHURA - CHHAPRA EXP,22532,21-07-2018,02:15,02:25,CPR,25.7784105,84.7514507,CHHAPRA
NZM,28.58886,77.253766,HAZRAT NIZAMUDDIN,NZM TVC SF EXP,22634,21-07-2018,01:30,01:55,TVC,8.4869485,76.9525968,THIRUVANANTHAPURAM CENTRAL
BGP,25.2494829,86.9828131,BHAGALPUR,BGP-LT(T) EXP,12335,22-07-2018,13:00,04:00,LTT,19.069143,72.8922731,LOKMANYATILAK
GKP,26.75845,83.3752175,GORAKHPUR,RAPTISAGAR EXPRESS,12511,22-07-2018,11:35,05:00,TVC,8.4869485,76.9525968,THIRUVANANTHAPURAM CENTRAL
ADI,23.0216238,72.5797068,AHMEDABAD JN,ADI -HOWRAH EXPRESS,12833,22-07-2018,03:20,03:05,HWH,22.5882216,88.323139,HOWRAH JN
DNR,25.6358901,85.0474045,DANAPUR,JAN SADHARAN EXP,13257,22-07-2018,18:30,02:45,ANVT,28.6118176,77.2888291,ANAND VIHAR TERMINAL
BLGT,25.26208045,88.7961748567,BALURGHAT,BLGT - SGUJ INTERCITY EXP,15463,22-07-2018,13:15,02:00,SGUJ,26.7164127,88.4309916,SILIGURI JN
TN,8.8052602,78.1452745,TUTICORIN,TN-MEJ LINK EXP.,16130,22-07-2018,09:50,02:00,MEJ,8.863466,77.8953325,MANIYACHCHI JN
DNR,25.6358901,85.0474045,DANAPUR,DNR UDHNA  EXP,19064,22-07-2018,19:10,02:30,UDN,21.1788493,72.8336602,UDHNA JN
RPR,23.5381361,86.6739117,RAGHUNATHPUR,RPR-PNBE MEMUPASSANGER,63220,22-07-2018,17:15,01:00,PNBE,25.6093239,85.1235252,PATNA JN
PNBE,25.6093239,85.1235252,PATNA JN,PNBE-BXR MEMU PASSENGER,63263,22-07-2018,20:15,05:25,BXR,25.51231115,84.0998815543,BUXAR
MS,13.0783662,80.261168463,CHENNAI EGMORE,MS-MDU VAIGAI EXP,12635,23-07-2018,14:40,01:00,MDU,9.9261153,78.1140983,MADURAI JN
TN,8.8052602,78.1452745,TUTICORIN,TN-MEJ LINK EXP.,16130,23-07-2018,09:50,02:00,MEJ,8.863466,77.8953325,MANIYACHCHI JN
RXL,26.9833256,84.8523069,RAXAUL JN,RXL-HYB,07006,22-07-2018,10:30,09:00,HYB,17.3931097,78.4675629,HYDERABAD DECAN
ADB,19.6759452,78.5339895,ADILABAD,ADB-PVR,07501,22-07-2018,11:00,02:00,PVR,17.677817,75.3340992,PANDHARPUR
GKP,26.75845,83.3752175,GORAKHPUR,GODAN EXPRESS,11056,22-07-2018,13:20,07:00,LTT,19.069143,72.8922731,LOKMANYATILAK
NZM,28.58886,77.253766,HAZRAT NIZAMUDDIN,NZM-JBP MAHAKOSHAL EXP,12190,22-07-2018,17:05,01:00,JBP,23.1608938,79.9497702,JABALPUR
SHC,26.0,86.75,SAHARSA JN,GARIB RATH,12203,22-07-2018,16:55,02:00,ASR,31.6343083,74.8736788,AMRITSAR JN
KRBA,30.66147,77.85462,KORBA,KRBA YPR WAINGANGA EXP,12252,22-07-2018,09:00,01:00,YPR,13.0237563,77.5507379,YASVANTPUR JN
HWH,22.5882216,88.323139,HOWRAH JN,HWH-PURI SHATABDI EXP,12277,22-07-2018,17:00,02:35,PURI,19.8150134,85.8351734912,PURI
PURI,19.8150134,85.8351734912,PURI,PURI-HWH SHATABDI EXP.,12278,22-07-2018,07:30,01:45,HWH,22.5882216,88.323139,HOWRAH JN
BGP,25.2494829,86.9828131,BHAGALPUR,BGP-LT(T) EXP,12335,22-07-2018,13:00,04:00,LTT,19.069143,72.8922731,LOKMANYATILAK
LKO,26.8381,80.9346001,LUCKNOW,GOMTI EXP,12419,22-07-2018,07:00,01:00,NDLS,39.0317139,-90.2612233,NEW DELHI
DLI,37.3690819,97.36011,DELHI,INTERCITY EXP,12481,22-07-2018,16:15,03:05,SGNR,29.2404865,73.5236379,SHRI GANGANAGAR
GKP,26.75845,83.3752175,GORAKHPUR,RAPTISAGAR EXPRESS,12511,22-07-2018,18:35,12:00,TVC,8.4869485,76.9525968,THIRUVANANTHAPURAM CENTRAL
NDLS,39.0317139,-90.2612233,NEW DELHI,NDLS-NJP BI-WEEKLY EXP.,12524,22-07-2018,19:30,04:25,NJP,26.6838881,88.4460283619,NEW JALPAIGURI
ANVT,28.6118176,77.2888291,ANAND VIHAR TERMINAL,ANVT LJN DOUBLE DACKER AC,12584,22-07-2018,15:00,00:55,LJN,26.8311093,80.9243976,LUCKNOWJN
NDLS,39.0317139,-90.2612233,NEW DELHI,NDLS-SBC KARNATAKA EXP,12628,22-07-2018,23:45,02:30,SBC,13.06178495,77.6102415504,KSR BENGALURU
ADI,23.0216238,72.5797068,AHMEDABAD JN,NAVAJEEVAN EXPRESS,12655,22-07-2018,09:40,02:05,MAS,13.081674,80.2755685,CHENNAI CENTRAL
HWH,22.5882216,88.323139,HOWRAH JN,HWH-BBS-PURI DHAULI EXPRE,12821,22-07-2018,08:20,02:20,PURI,19.8150134,85.8351734912,PURI
ADI,23.0216238,72.5797068,AHMEDABAD JN,ADI -HOWRAH EXPRESS,12833,22-07-2018,03:20,03:05,HWH,22.5882216,88.323139,HOWRAH JN
HWH,22.5882216,88.323139,HOWRAH JN,HOWRAH-CHENNAI COROMANDAL,12841,22-07-2018,16:30,01:40,MAS,13.081674,80.2755685,CHENNAI CENTRAL
HWH,22.5882216,88.323139,HOWRAH JN,HWH-CSMT GEETANJALI EXPR,12860,22-07-2018,15:50,02:00,CSMT,19.0543469,72.8703314308,C SHIVAJI MAHARAJ T
DNR,25.6358901,85.0474045,DANAPUR,JAN SADHARAN EXP,13257,22-07-2018,18:30,02:45,ANVT,28.6118176,77.2888291,ANAND VIHAR TERMINAL
ANVT,28.6118176,77.2888291,ANAND VIHAR TERMINAL,JAN SADHARAN EXP,13258,22-07-2018,15:20,01:50,DNR,25.6358901,85.0474045,DANAPUR
ANVT,28.6118176,77.2888291,ANAND VIHAR TERMINAL,SADHBHAWNA EXP,14016,22-07-2018,19:00,02:35,RXL,26.9833256,84.8523069,RAXAUL JN
FD,28.1212947,76.120467,FAIZABAD JN,FD-DLI EXP,14205,22-07-2018,18:25,01:00,DLI,37.3690819,97.36011,DELHI
NDLS,39.0317139,-90.2612233,NEW DELHI,AGC INTERCITY EXPRESS,14212,22-07-2018,18:50,01:15,AGC,27.1752554,78.0098161,AGRA CANTT
PRG,25.4689167,81.8677005,PRAYAG,UNCHAHAR EXP,14217,22-07-2018,15:05,01:00,CDG,30.7194022,76.7646552,CHANDIGARH
BE,28.3523609,79.4096542,BAREILLY,INTERCITY EXP,14315,22-07-2018,08:00,03:25,NDLS,39.0317139,-90.2612233,NEW DELHI
FKA,30.4066889,74.0305245,FAZILKA,FKA DLI EXP,14732,22-07-2018,04:30,02:30,DLI,37.3690819,97.36011,DELHI
JSM,26.9116615,70.9124888,JAISALMER,RANIKHET EXP,15013,22-07-2018,02:15,01:30,KGM,29.26621,79.54376,KATHGODAM
MAU,48.958336,4.3619274,MAU JN,MAU-ANVT EXPRESS,15025,22-07-2018,13:25,02:40,ANVT,28.6118176,77.2888291,ANAND VIHAR TERMINAL
ASR,31.6343083,74.8736788,AMRITSAR JN,ASR-SHC JANSEWA EXP,15210,22-07-2018,07:35,01:00,SHC,26.0,86.75,SAHARSA JN
BLGT,25.26208045,88.7961748567,BALURGHAT,BLGT - SGUJ INTERCITY EXP,15463,22-07-2018,13:15,02:00,SGUJ,26.7164127,88.4309916,SILIGURI JN
GUV,10.5950431,76.0417924,GURUVAYUR,GUV CHENNAI EXP,16128,22-07-2018,23:25,02:00,MS,13.0783662,80.261168463,CHENNAI EGMORE
TN,8.8052602,78.1452745,TUTICORIN,TN-MEJ LINK EXP.,16130,22-07-2018,09:50,02:00,MEJ,8.863466,77.8953325,MANIYACHCHI JN
SC,17.4690889,78.5059176,SECUNDERABAD JN,SC-MMR AJANTHA EXP,17064,22-07-2018,20:00,01:50,MMR,20.2519828,74.4392286,MANMAD JN
ROU,22.2309255,84.8678705,ROURKELA,TATA-ROU-ALLP EXPRESS,18190,22-07-2018,08:30,02:20,TATA,19.1624658,72.9562251,TATANAGAR JN
SBP,21.4,83.883333,SAMBALPUR,SBP-PURI INTERCITY,18303,22-07-2018,08:00,02:00,PURI,19.8150134,85.8351734912,PURI
MURI,47.2756613,8.3377829,MURI,JAT MURI SBP EXPRESS,18310,22-07-2018,13:10,05:00,SBP,21.4,83.883333,SAMBALPUR
PURI,19.8150134,85.8351734912,PURI,PURI-PRDP INTERCITY,18414,22-07-2018,08:00,02:00,PRDP,20.2685001,86.6510580246,PARADEEP
PURI,19.8150134,85.8351734912,PURI,PURI-BBN INTERCITY,18416,22-07-2018,08:00,02:00,BBN,22.1015251,85.3810818,BARBIL
HTE,23.2991479,85.3234589,HATIA,HTE-PURI TAPASWANI EXP.,18451,22-07-2018,18:00,02:05,PURI,19.8150134,85.8351734912,PURI
SBC,13.06178495,77.6102415504,KSR BENGALURU,SBC-BBS PRASANTHI,18464,22-07-2018,18:35,04:35,BBS,20.2665668,85.8437586,BHUBANESWAR
MFP,26.1182898,85.3857888,MUZAFFARPUR JN,AVADH EXPRESS,19040,22-07-2018,09:00,03:00,BDTS,19.0635016,72.8412300202,BANDRA TERMINUS
DNR,25.6358901,85.0474045,DANAPUR,DNR UDHNA  EXP,19064,22-07-2018,19:10,02:30,UDN,21.1788493,72.8336602,UDHNA JN
NDLS,39.0317139,-90.2612233,NEW DELHI,NDLS-PDY WEEKLY EXP,22404,23-07-2018,02:00,02:15,PDY,-34.0378295,18.3474093,PONDICHERRY
JUC,31.3323762,75.576889,JALANDHAR CITY,JUC-DBG ANTYODAYA EXPESS,22552,22-07-2018,11:45,01:45,DBG,26.1569653,85.8995119,DARBHANGA JN
AGC,27.1752554,78.0098161,AGRA CANTT,AGC-JHS PASS,51816,22-07-2018,16:15,01:30,JHS,25.44715405,78.566749703,JHANSI JN
JP,26.916194,75.820349,JAIPUR,JP-MTJ PASSENGER,51974,22-07-2018,15:55,01:35,MTJ,27.4955539,77.6855554,MATHURA JN
SDAH,22.5679661,88.3711047,SEALDAH,LGL PGR,53181,23-07-2018,00:00,00:30,LGL,24.4204752,88.255121,LALGOLA
RGD,25.0306,85.4199,RAJGIR,RGD-DNR PASS,53229,22-07-2018,06:30,01:30,DNR,25.6358901,85.0474045,DANAPUR
GAYA,24.7964355,85.0079563,GAYA JN,GAYA-JAJ  PASS,53624,22-07-2018,08:30,03:25,JAJ,24.7697902,86.3775631,JHAJHA
